transactionNo,date,price,product_name,category,payment_mode,customer_age,customer_gender
31,2024-07-17,694.06,Yoga Mat,Accessories,Online Payment,43,Other
32,2024-01-01,287.46,Exercise Bike,Cardio,Online Payment,33,Female
33,2023-09-05,140.07,Pull-up Bar,Accessories,Online Payment,36,Other
34,2024-03-29,1218.22,Kettlebell,Strength,Debit Card,20,Male
35,2023-09-08,1027.38,Rowing Machine,Cardio,Credit Card,34,Female
36,2024-03-17,1255.65,Elliptical,Cardio,Credit Card,55,Other
37,2024-07-25,602.06,Barbell,Strength,Cash,20,Male
38,2024-02-27,908.8,Barbell,Strength,Online Payment,39,Male
39,2024-08-03,1245.28,Dumbbell,Strength,Debit Card,55,Other
40,2024-05-18,1225.09,Yoga Mat,Accessories,Online Payment,23,Other
41,2024-02-14,968.85,Rowing Machine,Cardio,Online Payment,39,Other
42,2023-12-05,170.31,Resistance Band,Accessories,Credit Card,30,Other
43,2024-04-17,1241.6,Treadmill,Cardio,Credit Card,37,Male
44,2024-01-23,1125.85,Yoga Mat,Accessories,Debit Card,33,Female
45,2023-09-03,426.0,Resistance Band,Accessories,Debit Card,62,Male
46,2023-10-01,1498.51,Elliptical,Cardio,Cash,46,Other
47,2024-07-15,1186.74,Resistance Band,Accessories,Online Payment,38,Female
48,2024-08-06,476.71,Barbell,Strength,Debit Card,62,Other
49,2024-06-18,871.14,Resistance Band,Accessories,Online Payment,43,Other
50,2024-08-10,351.28,Exercise Bike,Cardio,Credit Card,43,Male
51,2024-01-21,784.57,Rowing Machine,Cardio,Credit Card,27,Female
52,2023-10-21,953.3,Rowing Machine,Cardio,Credit Card,32,Male
53,2024-03-24,1256.34,Treadmill,Cardio,Online Payment,61,Male
54,2024-08-27,956.71,Elliptical,Cardio,Credit Card,50,Other
55,2023-10-18,391.18,Barbell,Strength,Cash,40,Other
56,2024-01-12,165.76,Barbell,Strength,Online Payment,46,Female
57,2024-07-14,1139.72,Resistance Band,Accessories,Cash,37,Female
58,2023-09-21,1161.64,Dumbbell,Strength,Credit Card,29,Female
59,2024-04-17,755.13,Treadmill,Cardio,Online Payment,28,Female
60,2024-08-15,379.6,Exercise Bike,Cardio,Online Payment,32,Female
61,2024-06-30,1381.99,Treadmill,Cardio,Credit Card,36,Other
62,2024-05-21,957.44,Pull-up Bar,Accessories,Online Payment,28,Male
63,2023-11-11,600.84,Dumbbell,Strength,Credit Card,32,Male
64,2023-11-21,72.75,Pull-up Bar,Accessories,Credit Card,34,Female
65,2024-07-04,350.41,Exercise Bike,Cardio,Online Payment,38,Male
66,2024-05-08,1164.28,Dumbbell,Strength,Debit Card,44,Female
67,2023-10-12,974.58,Kettlebell,Strength,Debit Card,39,Female
68,2023-09-11,220.84,Resistance Band,Accessories,Credit Card,30,Male
69,2023-09-21,519.57,Yoga Mat,Accessories,Debit Card,27,Other
70,2024-01-21,1456.54,Elliptical,Cardio,Cash,29,Male
71,2024-07-26,73.58,Kettlebell,Strength,Credit Card,42,Other
72,2024-02-07,1266.01,Kettlebell,Strength,Debit Card,44,Male
73,2023-11-14,357.6,Barbell,Strength,Debit Card,20,Female
74,2024-02-19,773.41,Dumbbell,Strength,Cash,47,Male
75,2024-04-08,589.07,Treadmill,Cardio,Online Payment,30,Male
76,2024-06-16,139.39,Elliptical,Cardio,Cash,26,Male
77,2023-12-20,1191.22,Yoga Mat,Accessories,Online Payment,58,Other
78,2024-06-28,441.9,Treadmill,Cardio,Debit Card,41,Female
79,2024-07-14,1284.36,Resistance Band,Accessories,Debit Card,36,Male
80,2023-11-20,916.25,Pull-up Bar,Accessories,Credit Card,29,Male
81,2023-12-22,688.67,Dumbbell,Strength,Online Payment,40,Female
82,2024-06-21,1421.91,Yoga Mat,Accessories,Cash,57,Female
83,2024-03-29,1136.36,Barbell,Strength,Credit Card,28,Female
84,2024-06-22,701.13,Pull-up Bar,Accessories,Credit Card,62,Female
85,2023-10-21,1387.66,Exercise Bike,Cardio,Online Payment,32,Male
86,2024-02-25,1211.1,Exercise Bike,Cardio,Debit Card,55,Other
87,2023-12-30,566.14,Dumbbell,Strength,Cash,62,Male
88,2024-06-19,869.38,Barbell,Strength,Online Payment,18,Other
89,2024-05-13,559.04,Treadmill,Cardio,Cash,31,Male
90,2023-10-15,525.02,Barbell,Strength,Credit Card,39,Male
91,2024-08-25,1264.55,Treadmill,Cardio,Debit Card,42,Other
92,2023-11-02,1487.0,Pull-up Bar,Accessories,Credit Card,27,Male
93,2024-03-25,1404.04,Yoga Mat,Accessories,Cash,55,Other
94,2024-06-05,1147.71,Resistance Band,Accessories,Cash,48,Male
95,2024-08-21,309.84,Kettlebell,Strength,Cash,54,Female
96,2024-07-08,680.53,Rowing Machine,Cardio,Debit Card,28,Male
97,2024-03-19,702.14,Treadmill,Cardio,Online Payment,43,Female
98,2024-04-11,989.03,Resistance Band,Accessories,Credit Card,32,Female
99,2024-05-13,843.91,Yoga Mat,Accessories,Debit Card,24,Other
100,2024-04-18,1459.27,Elliptical,Cardio,Online Payment,37,Male
101,2023-09-01,1439.27,Barbell,Strength,Online Payment,47,Female
102,2024-03-30,508.31,Pull-up Bar,Accessories,Cash,35,Male
103,2023-12-12,1127.65,Dumbbell,Strength,Debit Card,33,Male
104,2023-11-18,408.96,Elliptical,Cardio,Credit Card,33,Male
105,2024-01-10,415.23,Treadmill,Cardio,Cash,21,Other
106,2024-07-08,669.69,Pull-up Bar,Accessories,Online Payment,35,Male
107,2024-06-27,990.44,Treadmill,Cardio,Debit Card,50,Other
108,2024-05-21,1261.64,Elliptical,Cardio,Debit Card,30,Male
109,2024-02-01,124.16,Kettlebell,Strength,Online Payment,39,Male
110,2023-10-20,1474.74,Elliptical,Cardio,Credit Card,39,Female
111,2023-12-03,780.8,Kettlebell,Strength,Debit Card,34,Male
112,2023-10-16,97.12,Kettlebell,Strength,Online Payment,61,Male
113,2024-03-18,181.52,Yoga Mat,Accessories,Online Payment,43,Male
114,2024-07-16,500.6,Resistance Band,Accessories,Cash,23,Female
115,2024-02-05,406.37,Yoga Mat,Accessories,Online Payment,52,Other
116,2023-10-31,729.99,Barbell,Strength,Credit Card,46,Other
117,2024-02-10,1238.99,Barbell,Strength,Debit Card,39,Female
118,2024-04-06,1335.81,Pull-up Bar,Accessories,Online Payment,19,Male
119,2023-12-17,849.98,Treadmill,Cardio,Debit Card,40,Other
120,2024-07-10,1322.92,Treadmill,Cardio,Debit Card,44,Other
121,2024-07-10,880.42,Elliptical,Cardio,Debit Card,18,Other
122,2023-09-14,361.89,Yoga Mat,Accessories,Credit Card,29,Male
123,2024-08-08,534.28,Kettlebell,Strength,Cash,45,Male
124,2023-11-17,1016.86,Treadmill,Cardio,Online Payment,38,Female
125,2024-02-12,1441.5,Yoga Mat,Accessories,Online Payment,29,Male
126,2024-02-27,555.41,Dumbbell,Strength,Debit Card,35,Other
127,2024-05-10,1209.58,Exercise Bike,Cardio,Debit Card,55,Female
128,2024-04-02,1483.16,Rowing Machine,Cardio,Credit Card,63,Other
129,2024-01-29,136.25,Resistance Band,Accessories,Online Payment,45,Male
130,2023-10-23,291.96,Kettlebell,Strength,Debit Card,48,Female
131,2023-10-18,966.61,Barbell,Strength,Credit Card,28,Other
132,2024-05-08,517.08,Resistance Band,Accessories,Credit Card,54,Female
133,2023-12-16,413.97,Rowing Machine,Cardio,Cash,43,Male
134,2024-08-10,659.65,Pull-up Bar,Accessories,Cash,42,Other
135,2024-08-18,1001.52,Exercise Bike,Cardio,Cash,34,Male
136,2024-02-25,660.66,Elliptical,Cardio,Online Payment,20,Female
137,2024-02-24,974.4,Dumbbell,Strength,Cash,35,Other
138,2024-05-13,277.99,Exercise Bike,Cardio,Online Payment,33,Other
139,2024-03-28,329.47,Yoga Mat,Accessories,Cash,37,Other
140,2024-04-08,1088.01,Kettlebell,Strength,Debit Card,46,Male
141,2023-09-11,472.21,Yoga Mat,Accessories,Credit Card,37,Male
142,2024-08-14,1221.07,Yoga Mat,Accessories,Cash,38,Female
143,2024-05-03,1258.4,Kettlebell,Strength,Credit Card,27,Female
144,2023-10-11,858.37,Barbell,Strength,Cash,36,Other
145,2024-06-23,629.34,Exercise Bike,Cardio,Credit Card,59,Female
146,2024-04-21,550.57,Pull-up Bar,Accessories,Online Payment,38,Other
147,2024-06-03,67.9,Resistance Band,Accessories,Debit Card,21,Female
148,2024-05-07,443.07,Yoga Mat,Accessories,Cash,38,Female
149,2023-12-30,704.99,Dumbbell,Strength,Online Payment,48,Female
150,2024-03-20,1377.84,Yoga Mat,Accessories,Online Payment,38,Female
151,2023-11-13,1127.45,Rowing Machine,Cardio,Credit Card,42,Female
152,2024-07-06,975.16,Elliptical,Cardio,Online Payment,36,Male
153,2023-12-30,1449.75,Resistance Band,Accessories,Debit Card,24,Female
154,2024-06-01,1149.82,Dumbbell,Strength,Cash,31,Male
155,2024-02-23,1448.54,Resistance Band,Accessories,Cash,31,Male
156,2024-02-04,1396.71,Treadmill,Cardio,Cash,24,Other
157,2024-02-03,409.62,Resistance Band,Accessories,Online Payment,40,Other
158,2024-04-12,987.77,Yoga Mat,Accessories,Online Payment,22,Male
159,2023-10-28,974.31,Pull-up Bar,Accessories,Online Payment,56,Male
160,2024-03-02,172.15,Yoga Mat,Accessories,Credit Card,30,Female
161,2023-10-27,1056.88,Resistance Band,Accessories,Credit Card,43,Other
162,2023-10-22,298.13,Treadmill,Cardio,Cash,57,Male
163,2024-05-07,1410.5,Rowing Machine,Cardio,Credit Card,34,Male
164,2024-02-18,470.51,Elliptical,Cardio,Online Payment,31,Other
165,2024-02-29,715.49,Dumbbell,Strength,Cash,40,Other
166,2023-11-30,1195.12,Exercise Bike,Cardio,Credit Card,38,Other
167,2023-10-16,1443.91,Pull-up Bar,Accessories,Online Payment,33,Other
168,2023-11-23,1414.53,Kettlebell,Strength,Cash,25,Female
169,2024-06-05,1168.33,Kettlebell,Strength,Credit Card,42,Other
170,2024-04-13,135.35,Kettlebell,Strength,Online Payment,48,Female
171,2024-04-14,83.21,Elliptical,Cardio,Credit Card,28,Other
172,2024-03-19,676.1,Kettlebell,Strength,Debit Card,35,Male
173,2024-05-28,71.13,Barbell,Strength,Online Payment,33,Other
174,2023-11-15,361.28,Pull-up Bar,Accessories,Debit Card,33,Female
175,2024-03-17,584.3,Kettlebell,Strength,Online Payment,38,Male
176,2024-08-02,1339.89,Exercise Bike,Cardio,Online Payment,35,Other
177,2024-04-01,1283.98,Resistance Band,Accessories,Credit Card,23,Other
178,2024-02-28,1039.0,Dumbbell,Strength,Online Payment,37,Male
179,2024-06-15,1492.94,Treadmill,Cardio,Credit Card,28,Other
180,2024-03-27,530.3,Pull-up Bar,Accessories,Cash,24,Male
181,2023-10-06,1104.74,Treadmill,Cardio,Online Payment,35,Female
182,2024-03-04,768.32,Elliptical,Cardio,Online Payment,45,Other
183,2024-08-16,1458.21,Barbell,Strength,Debit Card,39,Male
184,2024-05-27,555.7,Yoga Mat,Accessories,Credit Card,25,Female
185,2024-02-10,253.31,Resistance Band,Accessories,Debit Card,47,Male
186,2024-01-07,802.32,Barbell,Strength,Cash,50,Other
187,2023-10-05,1363.6,Barbell,Strength,Cash,31,Female
188,2023-11-17,231.34,Rowing Machine,Cardio,Debit Card,49,Female
189,2024-02-14,468.5,Yoga Mat,Accessories,Credit Card,43,Other
190,2024-07-10,815.81,Kettlebell,Strength,Cash,41,Other
191,2024-04-04,354.93,Yoga Mat,Accessories,Cash,43,Male
192,2024-06-23,1442.36,Exercise Bike,Cardio,Online Payment,23,Female
193,2024-06-20,1187.46,Elliptical,Cardio,Cash,31,Other
194,2023-12-19,1350.5,Kettlebell,Strength,Debit Card,39,Other
195,2023-10-01,537.65,Exercise Bike,Cardio,Debit Card,41,Male
196,2024-06-08,1337.07,Rowing Machine,Cardio,Credit Card,28,Female
197,2024-06-24,187.05,Kettlebell,Strength,Debit Card,40,Female
198,2024-02-05,696.42,Dumbbell,Strength,Online Payment,40,Female
199,2024-06-01,1485.68,Barbell,Strength,Cash,37,Female
200,2023-12-19,582.98,Yoga Mat,Accessories,Debit Card,46,Female
201,2024-06-16,711.16,Dumbbell,Strength,Cash,54,Other
202,2024-08-11,1493.31,Yoga Mat,Accessories,Cash,37,Male
203,2024-08-29,407.74,Pull-up Bar,Accessories,Debit Card,34,Female
204,2023-12-04,658.84,Treadmill,Cardio,Cash,49,Female
205,2024-08-19,237.84,Kettlebell,Strength,Cash,42,Other
206,2024-04-05,1367.52,Pull-up Bar,Accessories,Credit Card,64,Other
207,2023-09-19,555.47,Exercise Bike,Cardio,Debit Card,39,Other
208,2024-04-23,1019.71,Kettlebell,Strength,Online Payment,40,Other
209,2023-09-01,1436.92,Elliptical,Cardio,Credit Card,27,Other
210,2024-07-10,881.33,Resistance Band,Accessories,Credit Card,42,Male
211,2024-01-13,451.42,Treadmill,Cardio,Cash,39,Male
212,2023-09-01,1158.29,Elliptical,Cardio,Cash,40,Other
213,2023-09-25,92.13,Dumbbell,Strength,Cash,27,Male
214,2024-04-01,430.21,Exercise Bike,Cardio,Online Payment,38,Female
215,2023-12-18,462.66,Elliptical,Cardio,Debit Card,45,Female
216,2024-03-09,366.9,Elliptical,Cardio,Credit Card,40,Other
217,2024-02-04,873.33,Pull-up Bar,Accessories,Online Payment,24,Male
218,2024-05-01,982.59,Rowing Machine,Cardio,Cash,35,Female
219,2023-09-15,58.54,Exercise Bike,Cardio,Debit Card,30,Male
220,2024-01-10,1393.63,Yoga Mat,Accessories,Debit Card,40,Female
221,2024-07-06,146.2,Kettlebell,Strength,Online Payment,41,Male
222,2023-12-12,1264.23,Barbell,Strength,Cash,39,Other
223,2023-11-17,380.91,Treadmill,Cardio,Cash,39,Male
224,2024-03-18,531.81,Barbell,Strength,Debit Card,21,Male
225,2024-01-13,803.67,Resistance Band,Accessories,Cash,52,Other
226,2024-01-18,1320.29,Kettlebell,Strength,Credit Card,41,Other
227,2024-04-06,102.74,Barbell,Strength,Online Payment,33,Female
228,2023-11-01,985.24,Yoga Mat,Accessories,Debit Card,49,Other
229,2023-09-18,1373.86,Pull-up Bar,Accessories,Credit Card,27,Female
230,2024-08-26,86.65,Exercise Bike,Cardio,Cash,21,Other
231,2024-08-09,981.25,Rowing Machine,Cardio,Debit Card,24,Female
232,2024-02-04,1463.33,Pull-up Bar,Accessories,Online Payment,35,Other
233,2024-01-01,722.18,Exercise Bike,Cardio,Credit Card,39,Male
234,2023-09-10,677.09,Pull-up Bar,Accessories,Cash,37,Female
235,2023-12-05,112.97,Resistance Band,Accessories,Debit Card,51,Female
236,2024-02-25,713.48,Kettlebell,Strength,Cash,34,Other
237,2023-11-08,309.46,Yoga Mat,Accessories,Online Payment,21,Male
238,2023-12-07,967.75,Dumbbell,Strength,Credit Card,44,Female
239,2023-09-10,155.07,Treadmill,Cardio,Cash,50,Male
240,2023-10-11,1044.65,Dumbbell,Strength,Online Payment,38,Female
241,2023-10-11,332.02,Exercise Bike,Cardio,Online Payment,33,Other
242,2024-05-16,447.1,Treadmill,Cardio,Credit Card,63,Other
243,2023-09-22,1263.72,Yoga Mat,Accessories,Debit Card,64,Male
244,2024-08-18,418.39,Elliptical,Cardio,Debit Card,28,Male
245,2024-08-06,256.05,Elliptical,Cardio,Debit Card,21,Female
246,2023-10-03,722.1,Yoga Mat,Accessories,Cash,31,Male
247,2023-12-16,1123.3,Rowing Machine,Cardio,Online Payment,54,Female
248,2023-09-17,187.88,Kettlebell,Strength,Online Payment,48,Female
249,2024-06-26,247.83,Resistance Band,Accessories,Credit Card,25,Other
250,2024-01-25,987.79,Pull-up Bar,Accessories,Credit Card,29,Male
251,2024-08-18,906.23,Elliptical,Cardio,Credit Card,51,Female
252,2024-04-27,401.72,Exercise Bike,Cardio,Online Payment,42,Female
253,2024-08-07,894.76,Resistance Band,Accessories,Debit Card,39,Male
254,2023-10-23,1275.74,Yoga Mat,Accessories,Credit Card,51,Other
255,2023-12-14,814.19,Elliptical,Cardio,Online Payment,44,Male
256,2024-07-07,734.14,Barbell,Strength,Cash,46,Other
257,2024-06-21,901.84,Treadmill,Cardio,Debit Card,31,Male
258,2024-02-05,378.08,Dumbbell,Strength,Debit Card,50,Female
259,2023-11-22,259.67,Yoga Mat,Accessories,Credit Card,39,Female
260,2024-01-27,961.83,Yoga Mat,Accessories,Debit Card,43,Other
261,2023-09-09,752.19,Pull-up Bar,Accessories,Online Payment,58,Male
262,2024-06-11,707.49,Resistance Band,Accessories,Online Payment,38,Male
263,2023-12-24,931.52,Exercise Bike,Cardio,Online Payment,22,Female
264,2023-12-13,208.73,Elliptical,Cardio,Credit Card,40,Female
265,2024-06-03,881.1,Resistance Band,Accessories,Debit Card,25,Other
266,2024-05-09,720.03,Pull-up Bar,Accessories,Credit Card,32,Male
267,2023-11-04,800.64,Resistance Band,Accessories,Cash,21,Other
268,2024-01-25,905.51,Pull-up Bar,Accessories,Online Payment,38,Female
269,2023-11-18,390.83,Yoga Mat,Accessories,Cash,50,Other
270,2024-08-28,785.92,Resistance Band,Accessories,Debit Card,31,Other
271,2024-02-04,710.89,Pull-up Bar,Accessories,Debit Card,43,Other
272,2024-02-25,536.7,Pull-up Bar,Accessories,Online Payment,31,Male
273,2024-04-02,1008.14,Yoga Mat,Accessories,Debit Card,61,Male
274,2024-03-07,236.69,Pull-up Bar,Accessories,Credit Card,38,Male
275,2023-10-18,800.1,Barbell,Strength,Online Payment,50,Male
276,2023-09-08,1001.3,Treadmill,Cardio,Credit Card,35,Other
277,2024-07-24,524.68,Yoga Mat,Accessories,Debit Card,50,Female
278,2023-11-04,650.87,Rowing Machine,Cardio,Cash,33,Female
279,2024-04-05,916.25,Resistance Band,Accessories,Credit Card,34,Other
280,2024-06-25,495.38,Rowing Machine,Cardio,Debit Card,36,Other
281,2023-10-29,1053.54,Rowing Machine,Cardio,Cash,42,Other
282,2024-04-11,1095.62,Yoga Mat,Accessories,Debit Card,38,Other
283,2023-12-27,1218.55,Kettlebell,Strength,Credit Card,42,Male
284,2024-06-12,1243.87,Elliptical,Cardio,Online Payment,28,Female
285,2024-07-23,310.12,Elliptical,Cardio,Online Payment,46,Female
286,2024-03-04,701.19,Barbell,Strength,Debit Card,44,Male
287,2023-10-16,562.18,Barbell,Strength,Cash,34,Other
288,2023-09-08,714.37,Elliptical,Cardio,Debit Card,20,Other
289,2024-05-23,699.73,Resistance Band,Accessories,Debit Card,50,Other
290,2024-08-21,1150.68,Elliptical,Cardio,Credit Card,55,Female
291,2023-11-14,612.52,Resistance Band,Accessories,Debit Card,39,Other
292,2024-03-17,860.52,Pull-up Bar,Accessories,Credit Card,60,Male
293,2024-05-10,403.9,Pull-up Bar,Accessories,Debit Card,38,Other
294,2024-04-28,1264.0,Resistance Band,Accessories,Online Payment,41,Other
295,2024-03-01,1190.39,Elliptical,Cardio,Credit Card,31,Male
296,2024-04-17,1273.58,Exercise Bike,Cardio,Online Payment,38,Female
297,2024-07-01,1482.92,Exercise Bike,Cardio,Online Payment,32,Female
298,2023-10-07,790.08,Elliptical,Cardio,Cash,45,Female
299,2024-08-01,1455.16,Yoga Mat,Accessories,Online Payment,42,Male
300,2024-04-28,441.67,Kettlebell,Strength,Cash,51,Male
301,2024-01-01,263.58,Resistance Band,Accessories,Credit Card,35,Female
302,2024-01-03,305.1,Yoga Mat,Accessories,Credit Card,35,Male
303,2024-08-06,869.95,Yoga Mat,Accessories,Credit Card,40,Other
304,2024-05-31,461.31,Pull-up Bar,Accessories,Debit Card,47,Female
305,2023-10-24,1442.06,Elliptical,Cardio,Cash,61,Male
306,2023-12-29,215.75,Resistance Band,Accessories,Debit Card,41,Male
307,2024-03-03,64.94,Dumbbell,Strength,Credit Card,34,Other
308,2023-12-21,1435.56,Barbell,Strength,Online Payment,23,Male
309,2024-08-13,1026.33,Yoga Mat,Accessories,Cash,46,Male
310,2023-09-03,1031.82,Barbell,Strength,Cash,22,Other
311,2024-04-29,1274.78,Kettlebell,Strength,Cash,50,Other
312,2024-04-25,199.93,Dumbbell,Strength,Debit Card,37,Male
313,2023-12-03,1046.19,Resistance Band,Accessories,Online Payment,32,Other
314,2024-04-28,543.91,Yoga Mat,Accessories,Debit Card,39,Other
315,2024-05-23,650.57,Yoga Mat,Accessories,Debit Card,19,Female
316,2024-02-29,795.6,Barbell,Strength,Credit Card,35,Other
317,2024-03-02,867.2,Dumbbell,Strength,Cash,39,Male
318,2023-09-24,1177.95,Exercise Bike,Cardio,Online Payment,49,Female
319,2023-12-31,692.24,Yoga Mat,Accessories,Online Payment,33,Female
320,2024-07-02,810.12,Barbell,Strength,Debit Card,32,Female
321,2023-10-29,1315.95,Exercise Bike,Cardio,Credit Card,45,Male
322,2023-10-27,1156.3,Dumbbell,Strength,Cash,47,Male
323,2023-10-21,341.65,Kettlebell,Strength,Cash,37,Female
324,2023-11-15,1063.36,Resistance Band,Accessories,Debit Card,47,Other
325,2024-08-17,1230.26,Yoga Mat,Accessories,Online Payment,52,Male
326,2024-05-17,1186.35,Kettlebell,Strength,Debit Card,53,Male
327,2023-11-19,116.99,Elliptical,Cardio,Cash,32,Other
328,2024-08-14,1158.93,Pull-up Bar,Accessories,Cash,31,Other
329,2024-03-19,1061.26,Treadmill,Cardio,Cash,50,Male
330,2024-05-18,1082.19,Pull-up Bar,Accessories,Cash,51,Female
331,2024-06-16,448.33,Kettlebell,Strength,Debit Card,29,Female
332,2024-01-24,926.62,Barbell,Strength,Online Payment,21,Female
333,2024-05-23,980.68,Yoga Mat,Accessories,Debit Card,31,Male
334,2024-07-15,829.24,Pull-up Bar,Accessories,Cash,35,Female
335,2023-10-08,457.77,Dumbbell,Strength,Cash,37,Other
336,2024-03-05,360.67,Elliptical,Cardio,Debit Card,41,Female
337,2023-11-05,880.23,Treadmill,Cardio,Online Payment,43,Other
338,2024-06-20,717.23,Kettlebell,Strength,Cash,31,Male
339,2024-02-17,335.1,Pull-up Bar,Accessories,Debit Card,21,Female
340,2023-11-29,468.26,Barbell,Strength,Debit Card,35,Male
341,2024-08-28,565.25,Exercise Bike,Cardio,Cash,53,Female
342,2024-04-01,59.17,Yoga Mat,Accessories,Credit Card,61,Other
343,2023-10-10,1267.16,Rowing Machine,Cardio,Online Payment,30,Other
344,2024-04-22,452.03,Kettlebell,Strength,Cash,58,Male
345,2024-05-12,810.69,Rowing Machine,Cardio,Online Payment,45,Female
346,2024-02-11,1338.07,Elliptical,Cardio,Cash,40,Other
347,2024-05-17,347.03,Resistance Band,Accessories,Debit Card,23,Female
348,2024-03-18,652.71,Resistance Band,Accessories,Cash,40,Other
349,2023-09-27,630.26,Pull-up Bar,Accessories,Credit Card,41,Male
350,2023-12-13,694.31,Pull-up Bar,Accessories,Credit Card,41,Other
351,2024-01-13,1174.9,Yoga Mat,Accessories,Debit Card,50,Other
352,2024-01-07,610.77,Barbell,Strength,Cash,42,Other
353,2024-06-07,1176.7,Yoga Mat,Accessories,Online Payment,24,Female
354,2024-01-05,905.52,Treadmill,Cardio,Credit Card,33,Other
355,2024-02-17,669.7,Pull-up Bar,Accessories,Debit Card,27,Female
356,2024-07-11,751.54,Rowing Machine,Cardio,Credit Card,38,Other
357,2024-05-02,1263.09,Resistance Band,Accessories,Credit Card,40,Other
358,2024-01-05,560.86,Rowing Machine,Cardio,Credit Card,42,Other
359,2024-06-13,1246.74,Treadmill,Cardio,Debit Card,46,Female
360,2024-05-07,1232.78,Elliptical,Cardio,Cash,33,Female
361,2024-02-25,638.26,Barbell,Strength,Cash,42,Female
362,2023-10-15,447.44,Pull-up Bar,Accessories,Cash,20,Other
363,2023-09-12,613.17,Elliptical,Cardio,Cash,30,Female
364,2024-06-05,951.31,Rowing Machine,Cardio,Debit Card,37,Male
365,2024-04-03,825.64,Dumbbell,Strength,Debit Card,26,Female
366,2023-09-08,1156.24,Dumbbell,Strength,Debit Card,49,Female
367,2024-03-02,1076.28,Exercise Bike,Cardio,Cash,37,Other
368,2024-03-29,1001.61,Kettlebell,Strength,Online Payment,26,Other
369,2024-03-05,1352.51,Dumbbell,Strength,Debit Card,42,Male
370,2023-09-17,578.08,Resistance Band,Accessories,Online Payment,43,Male
371,2024-03-14,578.47,Treadmill,Cardio,Cash,40,Other
372,2023-11-10,104.31,Barbell,Strength,Cash,19,Female
373,2024-05-30,672.67,Kettlebell,Strength,Online Payment,18,Female
374,2023-12-21,736.07,Kettlebell,Strength,Cash,38,Female
375,2023-09-23,669.38,Kettlebell,Strength,Debit Card,35,Female
376,2023-10-03,732.48,Dumbbell,Strength,Online Payment,31,Other
377,2024-07-06,73.04,Rowing Machine,Cardio,Cash,28,Female
378,2024-07-05,912.14,Treadmill,Cardio,Online Payment,38,Male
379,2024-04-20,1321.9,Yoga Mat,Accessories,Credit Card,32,Female
380,2024-04-24,601.25,Resistance Band,Accessories,Credit Card,37,Female
381,2023-09-25,770.84,Exercise Bike,Cardio,Online Payment,43,Female
382,2024-05-25,1308.63,Kettlebell,Strength,Cash,45,Male
383,2024-06-03,363.69,Rowing Machine,Cardio,Online Payment,44,Other
384,2024-01-21,708.1,Barbell,Strength,Debit Card,34,Female
385,2024-03-24,640.12,Exercise Bike,Cardio,Cash,35,Female
386,2024-07-11,741.87,Rowing Machine,Cardio,Cash,44,Other
387,2023-12-29,1224.66,Resistance Band,Accessories,Online Payment,52,Male
388,2023-09-11,126.78,Pull-up Bar,Accessories,Credit Card,29,Male
389,2024-05-15,1268.84,Exercise Bike,Cardio,Cash,20,Female
390,2024-06-26,1288.54,Kettlebell,Strength,Online Payment,41,Other
391,2024-04-24,527.5,Rowing Machine,Cardio,Online Payment,46,Other
